Arquivo,Tamanho (KB),Data Modificação
TG140_400002_67720_01415_140_20260130014932_91.13.BIN,18.19,30/01/2026 01:49
TG140_400004_67896_01109_140_20260130000341_91.13.BIN,36.65,30/01/2026 00:02
TG140_400110_67507_01301_140_20260130001250_91.13.BIN,62.74,30/01/2026 00:12
TG140_400185_67223_01203_140_20260130002357_91.13.BIN,47.28,30/01/2026 00:23
TG140_400016_67412_00789_140_20260130044631_91.13.BIN,3.04,30/01/2026 04:47
TG140_400060_67262_01245_140_20260130045319_91.13.BIN,3.13,30/01/2026 04:54
TG140_400213_67847_01246_140_20260130051300_91.13.BIN,3.19,30/01/2026 05:14
